Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea1,Lattitude,Longtitude,Regionname,Propertycount,Total Rooms,sum,Price2,CouncilArea,count
Abbotsford,48 Abbotsford St,3,House,1447500,Passed In,Nelson,22/08/2016,2.5,3067,3,3,1,166,174,2012,Yarra ,-37.8017,145.0001,Northern Metropolitan,4019,6,1,1447500,YARRA,1
Abbotsford,116/56 Nicholson St,1,Unit,457000,Property Sold,Jellis,22/08/2016,2.5,3067,1,1,1,0,50,,Yarra ,-37.8078,144.9965,Northern Metropolitan,4019,2,1,457000,YARRA,1
Abbotsford,159 Park St,2,House,1135000,Property Sold,Nelson,22/08/2016,2.5,3067,2,2,2,98,128,1920,Yarra ,-37.8005,144.9952,Northern Metropolitan,4019,4,1,1135000,YARRA,1
Abbotsford,166 Gipps St,3,House,1290000,Property Sold,Biggin,25/02/2017,2.5,3067,3,2,2,147,18,,Yarra ,-37.805,144.9943,Northern Metropolitan,4019,5,1,1290000,YARRA,1
Abbotsford,60 Stafford St,3,House,1290000,Property Sold,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,1950,Yarra ,-37.8007,144.9958,Northern Metropolitan,4019,4,1,1290000,YARRA,1
Abbotsford,11/205 Gipps St,1,Unit,470000,Property Sold,Nelson,26/07/2016,2.5,3067,1,1,1,0,50,2013,Yarra ,-37.8055,144.9961,Northern Metropolitan,4019,2,1,470000,YARRA,1
Abbotsford,47 Studley St,2,House,1180000,Property Sold,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra ,-37.8016,144.9956,Northern Metropolitan,4019,3,1,1180000,YARRA,1
Abbotsford,45 Yarra St,3,House,1195000,Sold Prior to Auction,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra ,-37.8022,144.9954,Northern Metropolitan,4019,5,1,1195000,YARRA,1
Abbotsford,200 Nicholson St,2,House,1012500,Property Sold,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra ,-37.8021,144.9976,Northern Metropolitan,4019,3,1,1012500,YARRA,1
Abbotsford,27 Charles St,2,House,1030000,Property Sold,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra ,-37.8086,144.9946,Northern Metropolitan,4019,3,1,1030000,YARRA,1
Airport West,154 Halsey Rd,3,Townhouse,840000,Passed In,Nelson,3/09/2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley ,-37.718,144.878,Western Metropolitan,3464,5,1,840000,MOONEE VALLEY,1
Airport West,50 Bedford St,3,House,730000,Vender Bid,Nelson,3/12/2016,13.5,3042,3,2,1,0,145,1965,Moonee Valley ,-37.7203,144.8755,Western Metropolitan,3464,5,1,730000,MOONEE VALLEY,1
Airport West,50 Bedford St,3,House,770000,Sold Prior to Auction,Nelson,4/03/2017,13.5,3042,3,2,1,0,145,1965,Moonee Valley ,-37.7203,144.8755,Western Metropolitan,3464,5,1,770000,MOONEE VALLEY,1
Airport West,23 Hart St,2,House,603000,Property Sold,Nelson,4/03/2017,13.5,3042,2,1,1,272,84,1950,Moonee Valley ,-37.7294,144.888,Western Metropolitan,3464,3,1,603000,MOONEE VALLEY,1
Airport West,1/80 Hawker St,3,Townhouse,700000,Property Sold,Brad,4/03/2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley ,-37.7218,144.8837,Western Metropolitan,3464,5,1,700000,MOONEE VALLEY,1
Airport West,1/37 Hillside Gr,3,House,600000,Property Sold,Maddison,4/03/2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley ,-37.7273,144.8744,Western Metropolitan,3464,3,1,600000,MOONEE VALLEY,1
Airport West,2/49 McIntosh St,2,Unit,500000,Vender Bid,Barry,4/03/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley ,-37.7215,144.8864,Western Metropolitan,3464,3,1,500000,MOONEE VALLEY,1
Airport West,36 Roberts Rd,4,House,785000,Property Sold,Considine,6/08/2016,13.5,3042,3,1,2,597,127,,Moonee Valley ,-37.7259,144.8792,Western Metropolitan,3464,4,1,785000,MOONEE VALLEY,1
Airport West,11 Harrington Rd,6,House,725000,Sold Prior to Auction,Barry,7/05/2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley ,-37.7239,144.8735,Western Metropolitan,3464,9,1,725000,MOONEE VALLEY,1
Airport West,2/252 Parer Rd,2,Townhouse,450000,Property Sold,Barry,7/05/2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley ,-37.7216,144.871,Western Metropolitan,3464,3,1,450000,MOONEE VALLEY,1
Airport West,3/19 Hart St,2,Unit,515000,Property Sold,Barry,7/11/2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley ,-37.7298,144.8883,Western Metropolitan,3464,3,1,515000,MOONEE VALLEY,1
Airport West,2/62 Clydesdale Rd,2,Unit,530000,Property Sold,Nelson,10/09/2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley ,-37.7234,144.8792,Western Metropolitan,3464,3,1,530000,MOONEE VALLEY,1
Airport West,3 Deidre Ct,3,House,895000,Passed In,Rendina,10/09/2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley ,-37.7249,144.8728,Western Metropolitan,3464,4,1,895000,MOONEE VALLEY,1
Airport West,13 Etzel St,3,House,805000,Property Sold,Nelson,10/12/2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley ,-37.7217,144.8783,Western Metropolitan,3464,4,1,805000,MOONEE VALLEY,1
Airport West,1/43 Cameron St,3,Unit,752000,Property Sold,Nelson,11/02/2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley ,-37.7302,144.8855,Western Metropolitan,3464,4,1,752000,MOONEE VALLEY,1
Airport West,2/40 Earl St,3,Townhouse,700000,Passed In,Brad,15/10/2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley ,-37.727,144.887,Western Metropolitan,3464,5,1,700000,MOONEE VALLEY,1
Airport West,180 Parer Rd,3,House,830000,Property Sold,Barry,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley ,-37.7186,144.876,Western Metropolitan,3464,4,1,830000,MOONEE VALLEY,1
Airport West,174 Parer Rd,2,House,675000,Property Sold,Barry,16/07/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley ,-37.7187,144.8765,Western Metropolitan,3464,3,1,675000,MOONEE VALLEY,1
Airport West,138 Victory Rd,3,House,1042000,Property Sold,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley ,-37.7173,144.8796,Western Metropolitan,3464,5,1,1042000,MOONEE VALLEY,1
Airport West,6 Kittyhawk St,4,House,773000,Property Sold,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley ,-37.7263,144.8679,Western Metropolitan,3464,8,1,773000,MOONEE VALLEY,1
Airport West,478 Fullarton Rd,3,House,810000,Passed In,Barry,18/03/2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley ,-37.7285,144.8694,Western Metropolitan,3464,6,1,810000,MOONEE VALLEY,1
Airport West,144 Marshall Rd,3,House,715000,Property Sold,Rendina,18/03/2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley ,-37.7164,144.8792,Western Metropolitan,3464,5,1,715000,MOONEE VALLEY,1
Airport West,3/7 South Rd,3,Townhouse,540000,Sold Prior to Auction,Nelson,18/06/2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley ,-37.7231,144.8802,Western Metropolitan,3464,4,1,540000,MOONEE VALLEY,1
Airport West,37 North St,3,Townhouse,825000,Sold Prior to Auction,Barry,19/11/2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley ,-37.72,144.8776,Western Metropolitan,3464,5,1,825000,MOONEE VALLEY,1
Airport West,10 Hilbert Rd,3,House,685000,Property Sold,Barry,22/05/2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley ,-37.7226,144.8733,Western Metropolitan,3464,4,1,685000,MOONEE VALLEY,1
Airport West,2/13 North St,2,Unit,510000,Property Sold,Nelson,22/08/2016,13.5,3042,2,1,1,141,76,,Moonee Valley ,-37.7202,144.8797,Western Metropolitan,3464,3,1,510000,MOONEE VALLEY,1
Airport West,85 Roberts Rd,4,House,900000,Property Sold,Harcourts,27/11/2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley ,-37.7256,144.8739,Western Metropolitan,3464,6,1,900000,MOONEE VALLEY,1
Albert Park,105 Kerferd Rd,2,House,1275000,Property Sold,hockingstuart,3/09/2016,3.3,3206,2,1,0,120,82,1900,Port Phillip ,-37.8459,144.9555,Southern Metropolitan,3280,3,1,1275000,PORT PHILLIP,1
Albert Park,112 Beaconsfield Pde,3,House,2850000,Passed In,Buxton,4/03/2017,3.3,3206,3,2,0,211,198,1890,Port Phillip ,-37.8481,144.9499,Southern Metropolitan,3280,5,1,2850000,PORT PHILLIP,1
Albert Park,94 Graham St,3,House,1850000,Property Sold,Greg,4/03/2017,3.3,3206,3,2,0,128,133,1890,Port Phillip ,-37.8452,144.9488,Southern Metropolitan,3280,5,1,1850000,PORT PHILLIP,1
Albert Park,396 Montague St,2,House,1436000,Property Sold,RT,4/03/2017,3.3,3206,2,1,0,130,81,1900,Port Phillip ,-37.8431,144.9565,Southern Metropolitan,3280,3,1,1436000,PORT PHILLIP,1
Albert Park,104 Richardson St,4,House,2300000,Property Sold,Marshall,7/05/2016,3.3,3206,4,2,1,153,180,1880,Port Phillip ,-37.8447,144.9523,Southern Metropolitan,3280,6,1,2300000,PORT PHILLIP,1
Albert Park,1 Moubray St,3,House,1800000,Vender Bid,Greg,7/11/2016,3.3,3206,3,2,1,132,159,1996,Port Phillip ,-37.8415,144.952,Southern Metropolitan,3280,5,1,1800000,PORT PHILLIP,1
Albert Park,29 Faussett St,2,House,2120000,Property Sold,Greg,10/09/2016,3.3,3206,2,1,1,199,107,1900,Port Phillip ,-37.8422,144.9554,Southern Metropolitan,3280,3,1,2120000,PORT PHILLIP,1
Albert Park,24 Kerferd Pl,3,House,1800000,Property Sold,Marshall,10/09/2016,3.3,3206,3,2,1,90,122,1900,Port Phillip ,-37.8421,144.9571,Southern Metropolitan,3280,5,1,1800000,PORT PHILLIP,1
Albert Park,2 Dundas Pl,3,House,2615000,Property Sold,Cayzer,10/12/2016,3.3,3206,3,2,1,177,181,1880,Port Phillip ,-37.8415,144.9585,Southern Metropolitan,3280,5,1,2615000,PORT PHILLIP,1
Albert Park,4a Gatehouse La,3,House,1370000,Property Sold,Greg,12/06/2016,3.3,3206,3,2,2,0,85,2000,Port Phillip ,-37.8451,144.9511,Southern Metropolitan,3280,5,1,1370000,PORT PHILLIP,1
Albert Park,65 Graham St,2,House,1322500,Property Sold,Greg,15/10/2016,3.3,3206,2,1,0,149,98,1890,Port Phillip ,-37.8443,144.9481,Southern Metropolitan,3280,3,1,1322500,PORT PHILLIP,1
Albert Park,364 Montague St,2,House,1562500,Property Sold,Greg,15/10/2016,3.3,3206,2,1,0,141,83,1890,Port Phillip ,-37.8424,144.9562,Southern Metropolitan,3280,3,1,1562500,PORT PHILLIP,1
Albert Park,86 Mills St,3,House,2000000,Vender Bid,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip ,-37.847,144.9575,Southern Metropolitan,3280,5,1,2000000,PORT PHILLIP,1
Albert Park,97 Page St,3,House,3010000,Property Sold,Greg,18/03/2017,3.3,3206,3,2,0,147,146,1890,Port Phillip ,-37.8473,144.9551,Southern Metropolitan,3280,5,1,3010000,PORT PHILLIP,1
Albert Park,55 Withers St,4,House,2800000,Vender Bid,Cayzer,18/06/2016,3.3,3206,4,3,1,327,254,1910,Port Phillip ,-37.8467,144.9475,Southern Metropolitan,3280,7,1,2800000,PORT PHILLIP,1
Albert Park,55 Merton St,3,House,2100000,Sold Prior to Auction,Marshall,23/04/2016,3.3,3206,2,1,1,120,123,1900,Port Phillip ,-37.8427,144.9546,Southern Metropolitan,3280,3,1,2100000,PORT PHILLIP,1
Albert Park,49 Page St,3,House,2000000,Passed In,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,1890,Port Phillip ,-37.8461,144.9528,Southern Metropolitan,3280,4,1,2000000,PORT PHILLIP,1
Albert Park,13/52 Moubray St,1,Unit,442500,Property Sold,Marshall,25/02/2017,3.3,3206,1,1,0,0,34,1970,Port Phillip ,-37.8421,144.9517,Southern Metropolitan,3280,2,1,442500,PORT PHILLIP,1
Albert Park,115 Page St,4,House,4735000,Property Sold,Marshall,25/02/2017,3.3,3206,4,2,1,330,207,1910,Port Phillip ,-37.8477,144.9558,Southern Metropolitan,3280,6,1,4735000,PORT PHILLIP,1
Albert Park,27 Barrett St,4,House,2140000,Property Sold,Greg,27/06/2016,3.3,3206,3,2,1,183,145,1880,Port Phillip ,-37.8434,144.9495,Southern Metropolitan,3280,5,1,2140000,PORT PHILLIP,1
Albert Park,6 Brooke St,2,House,980000,Property Sold,Greg,28/05/2016,3.3,3206,2,1,0,79,68,1890,Port Phillip ,-37.8387,144.9519,Southern Metropolitan,3280,3,1,980000,PORT PHILLIP,1
Albert Park,17 Reed St,3,House,1740000,Passed In,Marshall,28/08/2016,3.3,3206,3,2,2,147,134,1890,Port Phillip ,-37.8448,144.9453,Southern Metropolitan,3280,5,1,1740000,PORT PHILLIP,1
Albert Park,9 Durham St,1,House,985000,Property Sold,Marshall,30/07/2016,3.3,3206,1,1,0,81,54,1900,Port Phillip ,-37.8411,144.9497,Southern Metropolitan,3280,2,1,985000,PORT PHILLIP,1
Alphington,6 Smith St,4,House,2000000,Property Sold,Brace,3/09/2016,6.4,3078,3,2,4,853,263,1930,Darebin ,-37.7707,145.0318,Northern Metropolitan,2211,5,1,2000000,DAREBIN,1
Alphington,44 Shiers St,4,House,1717500,Property Sold,Collins,8/10/2016,6.4,3078,4,2,1,599,203,1925,Darebin ,-37.7717,145.031,Northern Metropolitan,2211,6,1,1717500,DAREBIN,1
Alphington,83 Fulham Rd,5,House,2840000,Property Sold,Nelson,12/06/2016,6.4,3078,5,4,4,809,165,1910,Darebin ,-37.775,145.0268,Northern Metropolitan,2211,9,1,2840000,DAREBIN,1
Alphington,3/19 Harker St,2,Unit,525500,Property Sold,Miles,12/11/2016,6.4,3078,2,1,1,88,60,1960,Darebin ,-37.7791,145.0306,Northern Metropolitan,2211,3,1,525500,DAREBIN,1
Alphington,4/2 Miller St,2,Townhouse,805000,Property Sold,Miles,12/11/2016,6.4,3078,2,2,3,155,140,2004,Darebin ,-37.7804,145.0308,Northern Metropolitan,2211,4,1,805000,DAREBIN,1
Alphington,10 Bennett St,4,House,1830000,Property Sold,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin ,-37.7743,145.0316,Northern Metropolitan,2211,6,1,1830000,DAREBIN,1
Alphington,38 Bennett St,4,House,2100000,Property Sold,Nelson,19/11/2016,6.4,3078,4,2,2,575,271,2008,Darebin ,-37.7723,145.0319,Northern Metropolitan,2211,6,1,2100000,DAREBIN,1
Alphington,2c Hamilton St,3,House,865000,Sold Prior to Auction,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin ,-37.7802,145.0243,Northern Metropolitan,2211,4,1,865000,DAREBIN,1
Alphington,5/5 Yarana Rd,2,Unit,390000,Vender Bid,Nelson,22/05/2016,6.4,3078,2,1,1,0,60,1960,Darebin ,-37.7773,145.0314,Northern Metropolitan,2211,3,1,390000,DAREBIN,1
Alphington,1/14 Fulham Rd,2,Unit,512000,Property Sold,Love,25/02/2017,6.4,3078,2,1,1,0,61,1965,Darebin ,-37.7805,145.0262,Northern Metropolitan,2211,3,1,512000,DAREBIN,1
Alphington,11 Margaret Gr,4,House,1900000,Sold Prior to Auction,McGrath,27/11/2016,6.4,3078,4,2,2,556,272,1930,Darebin ,-37.7844,145.0225,Northern Metropolitan,2211,6,1,1900000,DAREBIN,1
Alphington,42 Shiers St,4,House,1950000,Property Sold,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin ,-37.7719,145.0309,Northern Metropolitan,2211,6,1,1950000,DAREBIN,1
Altona,158 Queen St,3,House,520000,Vender Bid,Greg,3/09/2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay ,-37.87,144.825,Western Metropolitan,5301,5,1,520000,HOBSONS BAY,1
Altona,59 Bracken Gr,5,House,1525000,Property Sold,Greg,3/12/2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay ,-37.8721,144.8105,Western Metropolitan,5301,8,1,1525000,HOBSONS BAY,1
Altona,1/123 Blyth St,2,Townhouse,720000,Property Sold,hockingstuart,4/02/2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay ,-37.8687,144.8197,Western Metropolitan,5301,3,1,720000,HOBSONS BAY,1
Altona,4 Blyth St,3,House,1120000,Property Sold,Barlow,4/03/2017,13.8,3018,3,1,2,506,120,1930,Hobsons Bay ,-37.8693,144.8375,Western Metropolitan,5301,4,1,1120000,HOBSONS BAY,1
Altona,29 Rose St,4,House,1780000,Sold Prior to Auction,Greg,4/06/2016,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay ,-37.8681,144.819,Western Metropolitan,5301,7,1,1780000,HOBSONS BAY,1
Altona,1/170 Blyth St,3,Unit,630000,Property Sold,Barlow,6/08/2016,13.8,3018,2,1,2,311,94,1955,Hobsons Bay ,-37.8702,144.8143,Western Metropolitan,5301,3,1,630000,HOBSONS BAY,1
Altona,156 Maidstone St,3,House,660000,Vender Bid,Greg,7/05/2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay ,-37.8616,144.8116,Western Metropolitan,5301,4,1,660000,HOBSONS BAY,1
Altona,1/136 Queen St,2,Unit,580000,Property Sold,Barlow,8/10/2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay ,-37.8696,144.827,Western Metropolitan,5301,3,1,580000,HOBSONS BAY,1
Altona,173 Queen St,3,House,1335000,Property Sold,hockingstuart,8/10/2016,13.8,3018,3,1,4,777,22,1953,Hobsons Bay ,-37.8697,144.8249,Western Metropolitan,5301,4,1,1335000,HOBSONS BAY,1
Altona,3/26 Grieve Pde,2,Unit,510000,Property Sold,Village,10/09/2016,13.8,3018,2,1,1,127,76,1990,Hobsons Bay ,-37.8686,144.8182,Western Metropolitan,5301,3,1,510000,HOBSONS BAY,1
Altona,4/5 Rose St,2,Unit,425000,Property Sold,hockingstuart,10/09/2016,13.8,3018,2,1,2,115,57,1980,Hobsons Bay ,-37.871,144.8185,Western Metropolitan,5301,3,1,425000,HOBSONS BAY,1
Altona,1A Merritt Ct,3,Townhouse,705000,Property Sold,hockingstuart,11/02/2017,13.8,3018,3,2,2,197,152,,Hobsons Bay ,-37.8579,144.8181,Western Metropolitan,5301,5,1,705000,HOBSONS BAY,1
Altona,4/31 Millers Rd,2,Unit,391000,Sold Prior to Auction,Greg,11/02/2017,13.8,3018,2,1,1,0,65,1965,Hobsons Bay ,-37.8678,144.8384,Western Metropolitan,5301,3,1,391000,HOBSONS BAY,1
Altona,24 Wren St,4,House,845000,Property Sold,hockingstuart,11/02/2017,13.8,3018,4,1,2,745,130,1950,Hobsons Bay ,-37.8658,144.8155,Western Metropolitan,5301,5,1,845000,HOBSONS BAY,1
Altona,1/152 Blyth St,3,Townhouse,743000,Sold Prior to Auction,Gunn&Co,12/11/2016,13.8,3018,3,2,2,211,176,,Hobsons Bay ,-37.8698,144.816,Western Metropolitan,5301,5,1,743000,HOBSONS BAY,1
Altona,4/57 Blyth St,3,Unit,730000,Sold Prior to Auction,Barlow,13/08/2016,13.8,3018,3,2,1,69,141,2014,Hobsons Bay ,-37.868,144.8286,Western Metropolitan,5301,5,1,730000,HOBSONS BAY,1
Altona,3/46 Sargood St,2,Unit,447000,Property Sold,Burnham,15/10/2016,13.8,3018,2,1,1,137,77,1990,Hobsons Bay ,-37.8655,144.8299,Western Metropolitan,5301,3,1,447000,HOBSONS BAY,1
Altona,22 Fenfield St,3,House,678000,Property Sold,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay ,-37.8608,144.8124,Western Metropolitan,5301,4,1,678000,HOBSONS BAY,1
Altona,5/8 David St,2,Unit,580000,Passed In,Biggin,16/07/2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay ,-37.8687,144.8268,Western Metropolitan,5301,4,1,580000,HOBSONS BAY,1
Altona,27 McIntyre Dr,3,House,840000,Sold Prior to Auction,Greg,18/03/2017,13.8,3018,3,2,2,534,136,1965,Hobsons Bay ,-37.86,144.8245,Western Metropolitan,5301,5,1,840000,HOBSONS BAY,1
Altona,3/20 Mulga St,3,Unit,577000,Property Sold,Williams,23/04/2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay ,-37.8684,144.815,Western Metropolitan,5301,5,1,577000,HOBSONS BAY,1
Altona,104 Maidstone St,2,House,857000,Sold Prior to Auction,hockingstuart,27/11/2016,13.8,3018,2,2,1,675,100,1950,Hobsons Bay ,-37.8653,144.8129,Western Metropolitan,5301,4,1,857000,HOBSONS BAY,1
Altona,5/57 Blyth St,3,Unit,730000,Sold Prior to Auction,Barlow,28/05/2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay ,-37.868,144.8285,Western Metropolitan,5301,5,1,730000,HOBSONS BAY,1
Altona,2/60 David St,2,House,535600,Sold Prior to Auction,Compton,30/07/2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay ,-37.8646,144.8272,Western Metropolitan,5301,3,1,535600,HOBSONS BAY,1
Altona North,45 Hearn St,5,House,1085000,Property Sold,FN,3/09/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay ,-37.8388,144.8567,Western Metropolitan,5132,8,1,1085000,HOBSONS BAY,1
Altona North,4 Knapp St,3,House,781000,Property Sold,Jas,3/09/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay ,-37.8291,144.835,Western Metropolitan,5132,4,1,781000,HOBSONS BAY,1
Altona North,3/66 Marion St,2,Townhouse,421000,Property Sold,hockingstuart,4/03/2017,11.1,3025,2,1,1,77,77,2009,Hobsons Bay ,-37.8351,144.8529,Western Metropolitan,5132,3,1,421000,HOBSONS BAY,1
Altona North,33 Carthy St,3,House,683000,Property Sold,FN,4/06/2016,11.1,3025,3,1,2,534,167,1967,Hobsons Bay ,-37.8284,144.8355,Western Metropolitan,5132,4,1,683000,HOBSONS BAY,1
Altona North,1/5 Little St,3,House,720000,Vender Bid,Greg,6/08/2016,11.1,3025,3,2,1,0,130,2012,Hobsons Bay ,-37.8379,144.8583,Western Metropolitan,5132,5,1,720000,HOBSONS BAY,1
Altona North,1/95 Mills St,3,House,588000,Property Sold,Williams,7/05/2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay ,-37.838,144.8555,Western Metropolitan,5132,4,1,588000,HOBSONS BAY,1
Altona North,5 Binns St,3,House,710000,Passed In,Village,7/11/2016,11.1,3025,3,1,3,540,116,1960,Hobsons Bay ,-37.8294,144.8378,Western Metropolitan,5132,4,1,710000,HOBSONS BAY,1
Altona North,25 Allan St,4,House,875000,Sold Prior to Auction,Jas,8/10/2016,11.1,3025,3,1,4,559,169,1965,Hobsons Bay ,-37.8448,144.8529,Western Metropolitan,5132,4,1,875000,HOBSONS BAY,1
Altona North,2/36 May St,3,House,675000,Property Sold,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay ,-37.8337,144.8554,Western Metropolitan,5132,5,1,675000,HOBSONS BAY,1
Altona North,11 Beevers St,3,House,708000,Property Sold,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay ,-37.8258,144.8523,Western Metropolitan,5132,4,1,708000,HOBSONS BAY,1
Altona North,21 Neal Ct,3,House,770000,Sold Prior to Auction,hockingstuart,19/11/2016,11.1,3025,3,1,3,602,603,,Hobsons Bay ,-37.8327,144.8451,Western Metropolitan,5132,4,1,770000,HOBSONS BAY,1
